coin,date,sc,state_final,armed_t,failed_t,hit_t
BTC,2022-04-04,1,hit,1.6490853e+18,,1.6490943e+18
BTC,2022-04-04,2,pending,,,
BTC,2022-04-05,1,hit,1.6491645e+18,,1.6491681e+18
BTC,2022-04-05,2,pending,,,
BTC,2022-04-06,1,pending,,,
BTC,2022-04-06,2,hit,1.6492527e+18,,1.6492536e+18
BTC,2022-04-07,1,pending,,,
BTC,2022-04-07,2,hit,1.6493373e+18,,1.6493454e+18
BTC,2022-04-08,1,hit,1.6494237e+18,,1.6494246e+18
BTC,2022-04-08,2,failed,1.6494282e+18,1.6494381e+18,
BTC,2022-04-11,1,pending,,,
BTC,2022-04-11,2,hit,1.6496838e+18,,1.6496874e+18
BTC,2022-04-12,1,hit,1.6497693e+18,,1.6497702e+18
BTC,2022-04-13,1,hit,1.6498557e+18,,1.6498575e+18
BTC,2022-04-13,2,pending,,,
BTC,2022-04-14,1,hit,1.6499439e+18,,1.6499511e+18
BTC,2022-04-14,2,hit,1.6499421e+18,,1.649943e+18
BTC,2022-04-15,1,hit,1.6500348e+18,,1.6500366e+18
BTC,2022-04-15,2,pending,,,
BTC,2022-04-18,1,hit,1.6502877e+18,,1.6503021e+18
BTC,2022-04-18,2,pending,,,
BTC,2022-04-19,1,pending,,,
BTC,2022-04-19,2,hit,1.6503741e+18,,1.650375e+18
BTC,2022-04-20,1,hit,1.6504605e+18,,1.6504623e+18
BTC,2022-04-20,2,pending,,,
BTC,2022-04-21,1,hit,1.6505469e+18,,1.6505478e+18
BTC,2022-04-21,2,hit,1.6505568e+18,,1.6505631e+18
BTC,2022-04-22,1,pending,,,
BTC,2022-04-22,2,hit,1.6506333e+18,,1.6506342e+18
BTC,2022-04-25,1,failed,1.6508943e+18,1.6508952e+18,
BTC,2022-04-25,2,failed,1.6508952e+18,1.650897e+18,
BTC,2022-04-26,1,hit,1.6509789e+18,,1.6509807e+18
BTC,2022-04-26,2,pending,,,
BTC,2022-04-27,1,failed,1.6510671e+18,1.6510689e+18,
BTC,2022-04-27,2,failed,1.6510653e+18,1.6510671e+18,
BTC,2022-04-28,1,failed,1.6511589e+18,1.6511607e+18,
BTC,2022-04-28,2,hit,1.6511517e+18,,1.6511544e+18
BTC,2022-04-29,1,armed,1.6512507e+18,,
BTC,2022-04-29,2,hit,1.6512381e+18,,1.651239e+18
BTC,2022-05-02,1,failed,1.6514973e+18,1.6515126e+18,
BTC,2022-05-02,2,hit,1.6515126e+18,,1.6515135e+18
BTC,2022-05-03,1,hit,1.6515837e+18,,1.6515846e+18
BTC,2022-05-03,2,pending,,,
BTC,2022-05-04,1,failed,1.6516719e+18,1.6516818e+18,
BTC,2022-05-04,2,failed,1.6516818e+18,1.6516863e+18,
BTC,2022-05-05,1,hit,1.6517574e+18,,1.651761e+18
BTC,2022-05-05,2,pending,,,
BTC,2022-05-06,1,failed,1.6518447e+18,1.6518483e+18,
BTC,2022-05-09,1,pending,,,
BTC,2022-05-09,2,hit,1.6521021e+18,,1.6521084e+18
BTC,2022-05-10,1,failed,1.6521939e+18,1.6522047e+18,
BTC,2022-05-11,1,hit,1.6522749e+18,,1.6522758e+18
BTC,2022-05-11,2,pending,,,
BTC,2022-05-12,1,failed,1.6523622e+18,1.6523631e+18,
BTC,2022-05-12,2,pending,,,
BTC,2022-05-13,1,failed,1.6524522e+18,1.6524558e+18,
BTC,2022-05-13,2,hit,1.6524594e+18,,1.6524603e+18
BTC,2022-05-16,1,failed,1.6527159e+18,1.6527168e+18,
BTC,2022-05-16,2,pending,,,
BTC,2022-05-17,1,pending,,,
BTC,2022-05-17,2,armed,1.6527987e+18,,
BTC,2022-05-18,1,hit,1.6528797e+18,,1.6528806e+18
BTC,2022-05-18,2,pending,,,
BTC,2022-05-19,1,hit,1.6529661e+18,,1.6529751e+18
BTC,2022-05-19,2,pending,,,
BTC,2022-05-20,1,pending,,,
BTC,2022-05-20,2,hit,1.6530525e+18,,1.6530579e+18
BTC,2022-05-23,1,pending,,,
BTC,2022-05-23,2,failed,1.6533153e+18,1.6533189e+18,
BTC,2022-05-24,1,hit,1.653399e+18,,1.6534008e+18
BTC,2022-05-24,2,failed,1.6534089e+18,1.6534125e+18,
BTC,2022-05-25,1,hit,1.6534845e+18,,1.6534863e+18
BTC,2022-05-25,2,pending,,,
BTC,2022-05-26,1,hit,1.6535709e+18,,1.6535718e+18
BTC,2022-05-26,2,hit,1.6535745e+18,,1.6535781e+18
BTC,2022-05-27,1,armed,1.6536726e+18,,
BTC,2022-05-27,2,hit,1.6536573e+18,,1.65366e+18
BTC,2022-05-30,1,armed,1.6539327e+18,,
BTC,2022-05-31,1,hit,1.6540029e+18,,1.6540047e+18
BTC,2022-05-31,2,hit,1.6540128e+18,,1.6540155e+18
BTC,2022-06-01,1,failed,1.6540893e+18,1.6540929e+18,
BTC,2022-06-01,2,hit,1.6540938e+18,,1.6540947e+18
BTC,2022-06-02,1,failed,1.6541775e+18,1.6541784e+18,
BTC,2022-06-02,2,failed,1.6541757e+18,1.6541775e+18,
BTC,2022-06-03,1,hit,1.6542621e+18,,1.654263e+18
BTC,2022-06-06,1,hit,1.6545249e+18,,1.6545258e+18
BTC,2022-06-07,1,failed,1.6546077e+18,1.6546095e+18,
BTC,2022-06-07,2,armed,1.654614e+18,,
BTC,2022-06-08,1,pending,,,
BTC,2022-06-08,2,failed,1.6546968e+18,1.6546995e+18,
BTC,2022-06-09,1,pending,,,
BTC,2022-06-09,2,hit,1.6547805e+18,,1.6547814e+18
BTC,2022-06-10,1,pending,,,
BTC,2022-06-10,2,hit,1.6548669e+18,,1.6548678e+18
BTC,2022-06-13,1,hit,1.6551261e+18,,1.655127e+18
BTC,2022-06-14,1,hit,1.6552125e+18,,1.6552134e+18
BTC,2022-06-14,2,pending,,,
BTC,2022-06-15,1,failed,1.6553115e+18,1.655316e+18,
BTC,2022-06-15,2,failed,1.6552989e+18,1.6553115e+18,
BTC,2022-06-16,1,failed,1.6553889e+18,1.6553934e+18,
BTC,2022-06-17,1,pending,,,
BTC,2022-06-20,1,hit,1.6557309e+18,,1.6557327e+18
BTC,2022-06-20,2,failed,1.6557372e+18,1.655739e+18,
BTC,2022-06-21,1,pending,,,
BTC,2022-06-21,2,hit,1.6558173e+18,,1.6558182e+18
BTC,2022-06-22,1,failed,1.6559037e+18,1.6559064e+18,
BTC,2022-06-22,2,failed,1.6559064e+18,1.6559109e+18,
BTC,2022-06-23,1,pending,,,
BTC,2022-06-23,2,armed,1.655991e+18,,
BTC,2022-06-24,1,armed,1.6560837e+18,,
BTC,2022-06-24,2,hit,1.6560765e+18,,1.6560774e+18
BTC,2022-06-27,1,hit,1.6563357e+18,,1.6563375e+18
BTC,2022-06-27,2,pending,,,
BTC,2022-06-28,1,failed,1.656423e+18,1.6564266e+18,
BTC,2022-06-28,2,armed,1.6564302e+18,,
BTC,2022-06-29,1,pending,,,
BTC,2022-06-29,2,armed,1.6565103e+18,,
BTC,2022-06-30,1,hit,1.6565967e+18,,1.6565976e+18
BTC,2022-07-01,1,armed,1.6566813e+18,,
BTC,2022-07-01,2,pending,,,
BTC,2022-07-04,1,hit,1.6569405e+18,,1.6569423e+18
BTC,2022-07-04,2,failed,1.6569477e+18,1.6569522e+18,
BTC,2022-07-05,1,hit,1.6570269e+18,,1.6570278e+18
BTC,2022-07-06,1,failed,1.6571223e+18,1.6571259e+18,
BTC,2022-07-06,2,armed,1.6571133e+18,,
BTC,2022-07-07,1,failed,1.6571997e+18,1.6572033e+18,
BTC,2022-07-07,2,hit,1.6572033e+18,,1.6572042e+18
BTC,2022-07-08,1,failed,1.6572888e+18,1.6572906e+18,
BTC,2022-07-08,2,hit,1.6572915e+18,,1.6572924e+18
BTC,2022-07-11,1,pending,,,
BTC,2022-07-11,2,failed,1.6575453e+18,1.657548e+18,
BTC,2022-07-12,1,hit,1.6576317e+18,,1.6576326e+18
BTC,2022-07-12,2,pending,,,
BTC,2022-07-13,1,armed,1.6577343e+18,,
BTC,2022-07-13,2,hit,1.6577181e+18,,1.657719e+18
BTC,2022-07-14,1,failed,1.6578063e+18,1.6578108e+18,
BTC,2022-07-15,1,pending,,,
BTC,2022-07-15,2,hit,1.6578909e+18,,1.6578918e+18
BTC,2022-07-18,1,failed,1.6581537e+18,1.6581564e+18,
BTC,2022-07-18,2,failed,1.65816e+18,1.6581609e+18,
BTC,2022-07-19,1,hit,1.6582365e+18,,1.6582428e+18
BTC,2022-07-19,2,pending,,,
BTC,2022-07-20,1,armed,1.6583355e+18,,
BTC,2022-07-20,2,hit,1.6583229e+18,,1.6583247e+18
BTC,2022-07-21,1,hit,1.6584129e+18,,1.6584138e+18
BTC,2022-07-21,2,hit,1.6584201e+18,,1.658421e+18
BTC,2022-07-22,1,hit,1.6584966e+18,,1.6585038e+18
BTC,2022-07-22,2,failed,1.6584957e+18,1.6584984e+18,
BTC,2022-07-25,1,pending,,,
BTC,2022-07-25,2,armed,1.6587549e+18,,
BTC,2022-07-26,1,pending,,,
BTC,2022-07-26,2,failed,1.6588494e+18,1.6588557e+18,
BTC,2022-07-27,1,hit,1.6589277e+18,,1.6589295e+18
BTC,2022-07-27,2,pending,,,
BTC,2022-07-28,1,hit,1.6590141e+18,,1.6590159e+18
BTC,2022-07-28,2,hit,1.6590222e+18,,1.6590231e+18
BTC,2022-07-29,1,failed,1.6591005e+18,1.6591041e+18,
BTC,2022-07-29,2,failed,1.6591041e+18,1.6591113e+18,
BTC,2022-08-01,1,hit,1.6593597e+18,,1.6593606e+18
