coin,date,dtype,U,on_pos,don20
BTC,2022-01-13,normal,0.0287322331862204,0.5828711506051847,0.34190866698826206
BTC,2022-01-14,normal,0.0302580546803139,0.2645929002116396,0.2339692876668275
BTC,2022-01-17,normal,0.0302895554957351,0.2596584125006449,0.3095390377282537
BTC,2022-01-18,normal,0.0302580546803139,0.3604090844397409,0.2867549386059749
BTC,2022-01-19,normal,0.0269707019954573,0.6724294301683807,0.3036683576339646
BTC,2022-01-20,normal,0.028475195468155,0.6669567545856229,0.22588798259435008
BTC,2022-01-21,normal,0.0303372323061005,0.13734341333687253,0.12361031175059994
BTC,2022-01-24,normal,0.0305466082390656,0.02460325237933298,0.1650646442609862
BTC,2022-01-25,normal,0.0305466082390656,0.7444313011828911,0.2644827924874389
BTC,2022-01-26,normal,0.0320154707939315,0.7058255627766784,0.3488914194544857
BTC,2022-01-27,normal,0.0302580546803139,0.7382246549564858,0.3360292778189784
BTC,2022-01-28,normal,0.0322828008885587,0.09188915902720221,0.36631203255163025
BTC,2022-01-31,normal,0.0302580546803139,0.280795547737247,0.42861632260855104
BTC,2022-02-01,normal,0.0313093882955104,0.5909090909090909,0.47913420122716144
BTC,2022-02-02,normal,0.0292186378566547,0.7617459354875947,0.4987917460586055
BTC,2022-02-03,normal,0.0310243559050952,0.5027401603333465,0.36563926846233946
BTC,2022-02-04,normal,0.0320154707939315,0.7961388890915572,0.4037957038748195
BTC,2022-02-07,normal,0.0295324296720395,0.7632893750739578,0.8938281026423737
BTC,2022-02-08,normal,0.0282971129698164,0.14816273515732845,0.9429775375474927
BTC,2022-02-09,normal,0.0273717053206573,0.8313422290081257,0.8847690187461777
BTC,2022-02-10,normal,0.0320154707939315,0.7736731425217958,0.9109904467893404
BTC,2022-02-11,normal,0.0287239144688827,0.6706018886302225,0.8197775389167404
BTC,2022-02-14,normal,0.0287322331862204,0.946105886082639,0.6347349570825648
BTC,2022-02-15,normal,0.0268148626291991,0.8783082018390861,0.6814947464560274
BTC,2022-02-16,normal,0.0280508954869566,0.33324052418606737,0.8762709678795501
BTC,2022-02-17,normal,0.0305466082390656,0.24691795938958266,0.7985265865162283
BTC,2022-02-18,normal,0.0291115716081244,0.40936898346985434,0.44569010552711286
BTC,2022-02-21,normal,0.028475195468155,0.08924160942465956,0.2232671612161738
BTC,2022-02-22,normal,0.0319736784196619,0.8501518151815203,0.07921429317730681
BTC,2022-02-23,normal,0.0287322331862204,0.9317029189676536,0.20690941385435188
BTC,2022-02-24,normal,0.0310243559050952,0.2747671253035108,0.09502798014993158
BTC,2022-02-25,normal,0.0310243559050952,0.9153655020092657,0.34829354919504085
BTC,2022-02-28,normal,0.0313093882955104,0.7050486695016853,0.29366659941280426
BTC,2022-03-01,normal,0.0290298894674969,0.9737102488536107,0.768582937927004
BTC,2022-03-02,normal,0.028803355648007,0.3208132291106126,0.8782647112026379
BTC,2022-03-03,normal,0.0306633857187288,0.5009922565080336,0.8639593707008304
BTC,2022-03-04,normal,0.0307832269313748,0.3719249127960337,0.7340607995147016
BTC,2022-03-07,normal,0.0338802638487183,0.7090933149475244,0.3699795625814697
BTC,2022-03-08,normal,0.0350838190301407,0.706607618403048,0.33090924847351266
BTC,2022-03-09,normal,0.0325149843305831,0.8428243404111203,0.3979474115612236
BTC,2022-03-10,normal,0.0319012421219294,0.13714090083653313,0.6878157238132034
BTC,2022-03-11,normal,0.0338802638487183,0.8399282541512203,0.46035826866900414
BTC,2022-03-14,normal,0.0325149843305831,0.7694300221205956,0.311892699941865
BTC,2022-03-15,normal,0.0302895554957351,0.2956961039382515,0.4828692185756639
BTC,2022-03-16,normal,0.0299807382617399,0.5859519920263564,0.4475695359694957
BTC,2022-03-17,normal,0.0298905138151197,0.25388733372836897,0.4897619047619048
BTC,2022-03-18,normal,0.0287239144688827,0.27345640674191257,0.4664166666666668
BTC,2022-03-21,normal,0.0259370635685812,0.7579964850615102,0.4981334141904185
BTC,2022-03-22,normal,0.0260682931038201,0.8479173120793082,0.4666161309884779
BTC,2022-03-23,normal,0.0255250483934993,0.26656619543811105,0.7499337759785313
BTC,2022-03-24,normal,0.0255250483934993,0.554126417471648,0.9229390912020629
BTC,2022-03-25,normal,0.0263296785392542,0.9272760781422793,0.9675299219206639
BTC,2022-03-28,normal,0.0265013384654122,0.6923731830776613,0.9818678526048287
BTC,2022-03-29,normal,0.0262063114315124,0.9377064390424943,0.8996101492829232
BTC,2022-03-30,normal,0.0255250483934993,0.7707609864443264,0.9290031631881632
BTC,2022-03-31,normal,0.0262063114315124,0.5250430277637775,0.8945118121194114
BTC,2022-04-01,normal,0.0254218342270017,0.5333818828147203,0.7480451045807929
BTC,2022-04-04,normal,0.0259370635685812,0.24440076735673777,0.8233673652406827
BTC,2022-04-05,normal,0.0259370635685812,0.6002390776231095,0.8280880128528338
BTC,2022-04-06,normal,0.0254218342270017,0.2485563599516561,0.6657533396235791
BTC,2022-04-07,normal,0.0269707019954573,0.913412190663668,0.376847345682078
BTC,2022-04-08,normal,0.0254722581660016,0.053573944158001305,0.38542975174503713
BTC,2022-04-11,normal,0.0277572377907929,0.05613813410650957,0.17545557829630293
BTC,2022-04-12,normal,0.0298905138151197,0.9319620253164557,0.0367581625479427
BTC,2022-04-13,normal,0.0278743832029092,0.2278496544014377,0.09732542514661024
BTC,2022-04-14,normal,0.0296722803162861,0.10561295296838545,0.2166657026153971
BTC,2022-04-15,normal,0.028475195468155,0.6635847621276846,0.08257989018714434
BTC,2022-04-18,normal,0.0301720447979526,0.2561553686568235,0.053742664225249176
BTC,2022-04-19,normal,0.028475195468155,0.16795921609404973,0.24712916493428924
BTC,2022-04-20,normal,0.0269707019954573,0.8875175431354744,0.3262176049181936
BTC,2022-04-21,normal,0.0273845002961931,0.821870079160937,0.31677219453051336
BTC,2022-04-22,normal,0.028475195468155,0.7839000563591978,0.2181844716870987
BTC,2022-04-25,normal,0.0300172734582386,0.4023224739119378,0.1054563461145561
BTC,2022-04-26,normal,0.0277572377907929,0.49605578357924424,0.304644498394721
BTC,2022-04-27,normal,0.0302580546803139,0.86543283817848,0.06547007510736451
BTC,2022-04-28,normal,0.0278743832029092,0.7720824260926163,0.24463496034050358
BTC,2022-04-29,normal,0.0305466082390656,0.10168170600325618,0.3573573415743403
BTC,2022-05-02,normal,0.0273845002961931,0.4073596287703019,0.193567720167024
BTC,2022-05-03,normal,0.0275474377397488,0.47706209453197607,0.20373120176326934
BTC,2022-05-04,normal,0.0275474377397488,0.933422376078396,0.06128681377267141
BTC,2022-05-05,normal,0.0269707019954573,0.19541908107862105,0.4121246167002411
BTC,2022-05-06,normal,0.0290298894674969,0.17798315158975697,0.13250361286314338
BTC,2022-05-09,normal,0.0305466082390656,0.2580362952391879,0.03503004194535813
BTC,2022-05-10,normal,0.0336653761893974,0.6459900498191963,0.0033207985678379787
BTC,2022-05-11,normal,0.0433327558749434,0.6875933710871008,0.09714169233556783
BTC,2022-05-12,normal,0.0381032490740394,0.5004177250917301,0.10136094206178603
BTC,2022-05-13,normal,0.0354304569602749,0.8483451955346034,0.16526202516650343
BTC,2022-05-16,normal,0.0360035346289879,0.31469118982742994,0.32835271409935657
BTC,2022-05-17,normal,0.0350838190301407,0.5345443716497927,0.23214334038147738
BTC,2022-05-18,normal,0.0336653761893974,0.1466475823255638,0.27389975447298737
BTC,2022-05-19,normal,0.0332957347398662,0.9550551647036246,0.15125748943429676
BTC,2022-05-20,normal,0.032174370853954,0.6080576595239628,0.2716370816968471
BTC,2022-05-23,normal,0.0322326749372211,0.5811951410058075,0.26973897027643073
BTC,2022-05-24,normal,0.0292186378566547,0.7494894486044984,0.18081594023313236
BTC,2022-05-25,normal,0.0313093882955104,0.12350327584908391,0.22475963275673605
BTC,2022-05-26,normal,0.0298905138151197,0.12024087793669182,0.2849093240226434
BTC,2022-05-27,normal,0.032174370853954,0.2623179363191445,0.26479679874659895
BTC,2022-05-30,normal,0.0310243559050952,0.8498135073171286,0.4645250285702775
BTC,2022-05-31,normal,0.0307832269313748,0.7156925837087295,0.9116660630206449
BTC,2022-06-01,normal,0.0302895554957351,0.3887199110413379,0.8950763291805581
BTC,2022-06-02,normal,0.0313093882955104,0.9471329278887893,0.4078763494876059
BTC,2022-06-03,normal,0.0310243559050952,0.07673209028459145,0.5555641817218636
BTC,2022-06-06,normal,0.029358205493691,0.882472337562922,0.4337655042653852
BTC,2022-06-07,normal,0.0247032811779099,0.13015608060436087,0.7657463054637118
BTC,2022-06-08,normal,0.0268148626291991,0.32884601999860674,0.7091705788867986
BTC,2022-06-09,normal,0.0298905138151197,0.3639958079268295,0.49897018796923803
BTC,2022-06-10,normal,0.0279403851103155,0.5493630573248434,0.47731445116270566
BTC,2022-06-13,normal,0.0324689564529343,0.05801920907955235,0.0024884398013356457
BTC,2022-06-14,normal,0.0347871746740398,0.4563427735927024,0.05362624519847262
BTC,2022-06-15,normal,0.0350838190301407,0.4772529766437611,0.11169479788799445
BTC,2022-06-16,normal,0.0352264058210365,0.08967145349867996,0.20119016421727023
BTC,2022-06-17,normal,0.0364367012041492,0.6529207802863879,0.023576222107560954
BTC,2022-06-20,normal,0.0363568590702963,0.8410001660685799,0.1997699127021723
BTC,2022-06-21,normal,0.0363568590702963,0.5693837009980608,0.20554948586342003
BTC,2022-06-22,normal,0.0352264058210365,0.5277967646388688,0.21928725561453774
BTC,2022-06-23,normal,0.0354304569602749,0.8120167019142148,0.1672829625188425
BTC,2022-06-24,normal,0.0350838190301407,0.7082647637078565,0.24662180315675464
BTC,2022-06-27,normal,0.0338802638487183,0.6166753551414063,0.24457100718806382
BTC,2022-06-28,normal,0.032174370853954,0.6952428428998747,0.22769134680070813
BTC,2022-06-29,normal,0.032174370853954,0.4107976589728415,0.20334072488148042
BTC,2022-06-30,normal,0.0337007435806267,0.1279929940976701,0.19599163061876987
BTC,2022-07-01,normal,0.0322828008885587,0.20674896212204608,0.19632167102004408
BTC,2022-07-04,normal,0.0292186378566547,0.9385174727320442,0.29504710079291
BTC,2022-07-05,normal,0.0298905138151197,0.042373050779687484,0.4865726413496769
BTC,2022-07-06,normal,0.0287322331862204,0.5041400241624179,0.47524345287165565
BTC,2022-07-07,normal,0.0262063114315124,0.6047834915238252,0.6897585560243784
BTC,2022-07-08,normal,0.0268148626291991,0.22057717887918551,0.938345053914674
BTC,2022-07-11,normal,0.0282971129698164,0.17416812609457188,0.5732524728492816
BTC,2022-07-12,normal,0.0287322331862204,0.31525582210794145,0.34285648374801697
BTC,2022-07-13,normal,0.0313093882955104,0.8752028985507238,0.18012903159659305
BTC,2022-07-14,normal,0.0290298894674969,0.12855715178013724,0.4123859054639779
BTC,2022-07-15,normal,0.0298905138151197,0.5722789241244869,0.5031155722220657
BTC,2022-07-18,normal,0.0273253327755881,0.7837438172454244,0.5567685197763863
BTC,2022-07-19,normal,0.0273253327755881,0.2977050906297138,0.9168880656513226
BTC,2022-07-20,normal,0.0298905138151197,0.8349033166328501,0.922037108620023
BTC,2022-07-21,normal,0.0283276245417944,0.11884911182195679,0.8083169873392843
BTC,2022-07-22,normal,0.0269985896495212,0.9712495926422136,0.7953778744991571
BTC,2022-07-25,normal,0.0271505536383561,0.15932551181842416,0.6837265645383725
BTC,2022-07-26,normal,0.0269985896495212,0.19949473396719325,0.44726974542472725
BTC,2022-07-27,normal,0.0269046470036491,0.5278921540978041,0.43679041335867874
BTC,2022-07-28,normal,0.0255250483934993,0.5742686317447026,0.7531980319803198
BTC,2022-07-29,normal,0.0307832269313748,0.20796314577163763,0.9191527824369151
BTC,2022-08-01,normal,0.0269985896495212,0.4407842417568984,0.7612183996692756
BTC,2022-08-02,normal,0.0267983929560544,0.2877277024897593,0.7568220584812385
BTC,2022-08-03,normal,0.0263296785392542,0.9131067469757576,0.667412256306006
BTC,2022-08-04,normal,0.0262063114315124,0.29361209964412527,0.5684192350859014
BTC,2022-08-05,normal,0.0273253327755881,0.9637069922308571,0.5118573348387233
BTC,2022-08-08,normal,0.0259370635685812,0.9795116548887237,0.6229685725104126
BTC,2022-08-09,normal,0.0262063114315124,0.10839216731050873,0.783415372964786
BTC,2022-08-10,normal,0.0304469428444838,0.765038063667107,0.6167991922251674
BTC,2022-08-11,normal,0.0268148626291991,0.8028673073859707,0.8197778619209893
BTC,2022-08-12,normal,0.0262063114315124,0.1435247208931445,0.7663483727599925
BTC,2022-08-15,normal,0.0259370635685812,0.13415706556570756,0.8290002902516898
BTC,2022-08-16,normal,0.0262063114315124,0.5583528369915817,0.7321764828643323
BTC,2022-08-17,normal,0.0247032811779099,0.07389670864641855,0.5174579912638909
BTC,2022-08-18,normal,0.0254722581660016,0.8545012904205299,0.33530868061978003
BTC,2022-08-19,normal,0.0255250483934993,0.09622752588494775,0.2814336325996332
BTC,2022-08-22,normal,0.0273845002961931,0.4586776859504118,0.1693951121719234
BTC,2022-08-23,normal,0.0273845002961931,0.8580608007759225,0.1433737430946057
BTC,2022-08-24,normal,0.0274259727391674,0.6383459299800172,0.17243146297719655
BTC,2022-08-25,normal,0.0274259727391674,0.8046612912718502,0.13623798157962172
BTC,2022-08-26,normal,0.0278743832029092,0.16053704701084778,0.17915593493084486
BTC,2022-08-29,normal,0.0275474377397488,0.5957043834814005,0.006256896466900576
BTC,2022-08-30,normal,0.0274259727391674,0.6301340482573711,0.13454348024711307
BTC,2022-08-31,normal,0.0279403851103155,0.7646695408087874,0.05124645952081413
BTC,2022-09-01,normal,0.0275474377397488,0.5548364776034311,0.09312778055003065
BTC,2022-09-02,normal,0.0279320359828505,0.3910116983128623,0.10743729047040039
BTC,2022-09-05,normal,0.0269707019954573,0.16087285093519552,0.09748899366920305
BTC,2022-09-06,normal,0.0269046470036491,0.4834373025900237,0.05619165731289242
BTC,2022-09-07,normal,0.0275474377397488,0.4677145718782575,0.028502229072274086
BTC,2022-09-08,normal,0.0274259727391674,0.6877358490566077,0.16647225356010134
BTC,2022-09-09,normal,0.0273253327755881,0.8653662542990611,0.2386972852240775
BTC,2022-09-12,normal,0.0262063114315124,0.8338752064484627,0.9784228276039098
BTC,2022-09-13,normal,0.0338871942332591,0.710267485034482,0.9768029507974146
BTC,2022-09-14,normal,0.0310243559050952,0.366891634790615,0.38775905210308204
BTC,2022-09-15,normal,0.0319736784196619,0.48239220905422614,0.400151111297668
BTC,2022-09-16,normal,0.0313093882955104,0.9289102564102555,0.2777626200087217
BTC,2022-09-19,normal,0.0313093882955104,0.3481584112689054,0.21113839509541232
BTC,2022-09-20,normal,0.0320154707939315,0.13111320754717284,0.28566235404385026
BTC,2022-09-21,normal,0.0298905138151197,0.9049700655706552,0.14068727498883132
BTC,2022-09-22,normal,0.032174370853954,0.9522835895577776,0.07176943389927734
BTC,2022-09-23,normal,0.0310902072066261,0.038760015101306305,0.2729819260349841
BTC,2022-09-26,normal,0.0305466082390656,0.3587044769195065,0.14581576796161827
BTC,2022-09-27,normal,0.0287239144688827,0.9055530784815262,0.23578756350283114
BTC,2022-09-28,normal,0.028475195468155,0.631225554106912,0.20396873970152093
BTC,2022-09-29,normal,0.0279403851103155,0.49073795934715403,0.2753765231049728
BTC,2022-09-30,normal,0.0274259727391674,0.32035256823277697,0.3136151781931168
BTC,2022-10-03,normal,0.0275474377397488,0.8236665399721275,0.19919024528035395
BTC,2022-10-04,normal,0.0265013384654122,0.6779558512246756,0.6222728213620378
BTC,2022-10-05,normal,0.0254722581660016,0.17403461742888496,0.941601178363743
BTC,2022-10-06,normal,0.0254722581660016,0.5193177942012567,0.8651607904572964
BTC,2022-10-07,normal,0.0281180009225997,0.7728816333210653,0.7810448612612912
BTC,2022-10-10,normal,0.0259370635685812,0.5373684210526292,0.5589735293867233
BTC,2022-10-11,normal,0.0244312890596791,0.6767569363681721,0.42821687341955333
BTC,2022-10-12,normal,0.0244585008583722,0.5747093302584766,0.3321092603169061
