coin,date,lean_dir,lean_strength,lean_basis
BTC,2021-04-29,na,na,na
BTC,2021-04-30,na,na,na
BTC,2021-05-03,na,na,na
BTC,2021-05-04,na,na,na
BTC,2021-05-05,na,na,na
BTC,2021-05-06,na,na,na
BTC,2021-05-07,na,na,na
BTC,2021-05-10,na,na,na
BTC,2021-05-11,na,na,na
BTC,2021-05-12,na,na,na
BTC,2021-05-13,na,na,na
BTC,2021-05-14,na,na,na
BTC,2021-05-17,na,na,na
BTC,2021-05-18,na,na,na
BTC,2021-05-19,na,na,na
BTC,2021-05-20,na,na,na
BTC,2021-05-21,na,na,na
BTC,2021-05-24,na,na,na
BTC,2021-05-25,na,na,na
BTC,2021-05-26,na,na,na
BTC,2021-05-27,na,na,na
BTC,2021-05-28,na,na,na
BTC,2021-05-31,na,na,na
BTC,2021-06-01,na,na,na
BTC,2021-06-02,na,na,na
BTC,2021-06-03,na,na,na
BTC,2021-06-04,na,na,na
BTC,2021-06-07,na,na,na
BTC,2021-06-08,na,na,na
BTC,2021-06-09,na,na,na
BTC,2021-06-10,na,na,na
BTC,2021-06-11,na,na,na
BTC,2021-06-14,na,na,na
BTC,2021-06-15,na,na,na
BTC,2021-06-16,na,na,na
BTC,2021-06-17,na,na,na
BTC,2021-06-18,na,na,na
BTC,2021-06-21,na,na,na
BTC,2021-06-22,na,na,na
BTC,2021-06-23,na,na,na
BTC,2021-06-24,na,na,na
BTC,2021-06-25,na,na,na
BTC,2021-06-28,na,na,na
BTC,2021-06-29,na,na,na
BTC,2021-06-30,na,na,na
BTC,2021-07-01,na,na,na
BTC,2021-07-02,na,na,na
BTC,2021-07-05,na,na,na
BTC,2021-07-06,na,na,na
BTC,2021-07-07,na,na,na
BTC,2021-07-08,na,na,na
BTC,2021-07-09,na,na,na
BTC,2021-07-12,na,na,na
BTC,2021-07-13,na,na,na
BTC,2021-07-14,na,na,na
BTC,2021-07-15,na,na,na
BTC,2021-07-16,na,na,na
BTC,2021-07-19,na,na,na
BTC,2021-07-20,na,na,na
BTC,2021-07-21,na,na,na
BTC,2021-07-22,na,na,na
BTC,2021-07-23,na,na,na
BTC,2021-07-26,na,na,na
BTC,2021-07-27,na,na,na
BTC,2021-07-28,na,na,na
BTC,2021-07-29,na,na,na
BTC,2021-07-30,na,na,na
BTC,2021-08-02,na,na,na
BTC,2021-08-03,na,na,na
BTC,2021-08-04,na,na,na
BTC,2021-08-05,na,na,na
BTC,2021-08-06,na,na,na
BTC,2021-08-09,na,na,na
BTC,2021-08-10,na,na,na
BTC,2021-08-11,na,na,na
BTC,2021-08-12,na,na,na
BTC,2021-08-13,na,na,na
BTC,2021-08-16,na,na,na
BTC,2021-08-17,na,na,na
BTC,2021-08-18,na,na,na
BTC,2021-08-19,na,na,na
BTC,2021-08-20,na,na,na
BTC,2021-08-23,na,na,na
BTC,2021-08-24,na,na,na
BTC,2021-08-25,na,na,na
BTC,2021-08-26,na,na,na
BTC,2021-08-27,na,na,na
BTC,2021-08-30,na,na,na
BTC,2021-08-31,na,na,na
BTC,2021-09-01,na,na,na
BTC,2021-09-02,na,na,na
BTC,2021-09-03,na,na,na
BTC,2021-09-06,na,na,na
BTC,2021-09-07,na,na,na
BTC,2021-09-08,na,na,na
BTC,2021-09-09,na,na,na
BTC,2021-09-10,na,na,na
BTC,2021-09-13,na,na,na
BTC,2021-09-14,na,na,na
BTC,2021-09-15,na,na,na
BTC,2021-09-16,na,na,na
BTC,2021-09-17,na,na,na
BTC,2021-09-20,na,na,na
BTC,2021-09-21,na,na,na
BTC,2021-09-22,na,na,na
BTC,2021-09-23,na,na,na
BTC,2021-09-24,na,na,na
BTC,2021-09-27,na,na,na
BTC,2021-09-28,na,na,na
BTC,2021-09-29,na,na,na
BTC,2021-09-30,na,na,na
BTC,2021-10-01,na,na,na
BTC,2021-10-04,na,na,na
BTC,2021-10-05,na,na,na
BTC,2021-10-06,na,na,na
BTC,2021-10-07,na,na,na
BTC,2021-10-08,na,na,na
BTC,2021-10-11,na,na,na
BTC,2021-10-12,na,na,na
BTC,2021-10-13,na,na,na
BTC,2021-10-14,na,na,na
BTC,2021-10-15,na,na,na
BTC,2021-10-18,na,na,na
BTC,2021-10-19,na,na,na
BTC,2021-10-20,na,na,na
BTC,2021-10-21,na,na,na
BTC,2021-10-22,na,na,na
BTC,2021-10-25,na,na,na
BTC,2021-10-26,na,na,na
BTC,2021-10-27,na,na,na
BTC,2021-10-28,na,na,na
BTC,2021-10-29,na,na,na
BTC,2021-11-01,na,na,na
BTC,2021-11-02,na,na,na
BTC,2021-11-03,na,na,na
BTC,2021-11-04,na,na,na
BTC,2021-11-05,na,na,na
BTC,2021-11-08,na,na,na
BTC,2021-11-09,na,na,na
BTC,2021-11-10,na,na,na
BTC,2021-11-11,na,na,na
BTC,2021-11-12,na,na,na
BTC,2021-11-15,na,na,na
BTC,2021-11-16,na,na,na
BTC,2021-11-17,na,na,na
BTC,2021-11-18,na,na,na
BTC,2021-11-19,na,na,na
BTC,2021-11-22,na,na,na
BTC,2021-11-23,na,na,na
BTC,2021-11-24,na,na,na
BTC,2021-11-25,na,na,na
BTC,2021-11-26,na,na,na
BTC,2021-11-29,na,na,na
BTC,2021-11-30,na,na,na
BTC,2021-12-01,na,na,na
BTC,2021-12-02,na,na,na
BTC,2021-12-03,na,na,na
BTC,2021-12-06,na,na,na
BTC,2021-12-07,na,na,na
BTC,2021-12-08,na,na,na
BTC,2021-12-09,na,na,na
BTC,2021-12-10,na,na,na
BTC,2021-12-13,na,na,na
BTC,2021-12-14,na,na,na
BTC,2021-12-15,na,na,na
BTC,2021-12-16,na,na,na
BTC,2021-12-17,na,na,na
BTC,2021-12-20,na,na,na
BTC,2021-12-21,na,na,na
BTC,2021-12-22,na,na,na
BTC,2021-12-23,na,na,na
BTC,2021-12-24,na,na,na
BTC,2021-12-27,na,na,na
BTC,2021-12-28,na,na,na
BTC,2021-12-29,na,na,na
BTC,2021-12-30,na,na,na
BTC,2021-12-31,na,na,na
BTC,2022-01-03,na,na,na
BTC,2022-01-04,na,na,na
BTC,2022-01-05,na,na,na
BTC,2022-01-06,na,na,na
BTC,2022-01-07,na,na,na
BTC,2022-01-10,na,na,na
BTC,2022-01-11,down,slight_lean,A6b
BTC,2022-01-12,down,slight_lean,A6b
BTC,2022-01-13,down,slight_lean,A6b
